№,Учреждение,Регион,Адрес,год,Размер иного межбюджетного трансферта руб
145,Краснолесская сельская библиотека-филиал № 31 Муниципального казенного учреждения культуры Симферопольского района «Районная централизованная библиотечная система»,Республика Крым,"Республика Крым, 297571,  Симферопольский район, село  Краснолесье, улица Парковая, д. 69-б",2020,5000000
146,«Новоторъяльская межпоселенческая центральная библиотека» муниципального образования «Новоторъяльский муниципальный район»,Республика Марий Эл,"Республика Марий Эл, Новоторъяльский район, пгт. Новый Торъял, ул. Культуры. д.31",2020,10000000
147,"Центральная районная бибилотека, структурное подразделение муниципального бюджетного учреждения ""Централизованная библиотечная система Ковылкинского муниципального района""",Республика Мордовия,"Республика Мордовия, Ковылкинский район, село Кочелаево, улица Ленина, дом 2а",2020,5000000
148,Специализированная библиотека-филиал «Созвездие» №21 Муниципального бюджетного учреждения «Централизованная библиотечная система» городского округа «город Якутск»,Республика Саха (Якутия),"Республика Саха (Якутия) 677017, Город Якутск, Ул. Мординова, дом 21/1",2020,5000000
149,Районная детская библиотека - филиал Муниципального казенного учреждения культуры «Булунская межпоселенческая централизованная система»,Республика Саха (Якутия),"Республика Саха (Я), Булунский улус, п.  Тикси, ул. Морская, 32.",2020,5000000
150,Муниципальное бюджетное учреждение «Межпоселенческая центральная библиотека» Спасского муниципального района Республики Татарстан,Республика Татарстан (Татарстан),"Республика Татарстан, 422840, Спасский муниципальный район, г. Болгар, ул.Хирурга Шеронова, д.19",2020,10000000
151,Чернышевская сельская библиотека - филиал №34 муниципального бюджетного учреждения «Высокогорская централизованная библиотечная система»,Республика Татарстан (Татарстан),"Республика Татарстан, Высокогорский  район, д. Чернышевка, ул. Клубная, д.1",2020,5000000
152,Новокырлайская сельская библиотека –филиал №43 муниципального бюджетного учреждения «Арская централизованная библиотечная система Арского муниципального района»,Республика Татарстан (Татарстан),"Республика Татарстан, 422035, Арский  район, село Новый Кырлай,  ул.Центральная,д.3",2020,5000000
153,Моренский сельский филиал МБУК «Централизованная библиотечная система» Эрзинский района Республики Тыва,Республика Тыва,"РФ, Республика Тыва, Эрзинский район,  с. Морен, ул. Мира, д.18",2020,5000000
154,Центральная районная детская библиотека МБУК «Централизованная библиотечная система» Кызылского района Республики Тыва,Республика Тыва,"Республика Тыва, Кызылский район,  пгт. Каа-Хем, ул. Таёжная, д.13 «а»",2020,5000000
155,Юношеская библиотека-филиал «Ровесник» Муниципального бюджетного учреждения культуры города Абакана «Абаканская централизованная библиотечная система»,Республика Хакасия,"Республика Хакасия, город Абакан, пр. Ленина, 102",2020,5000000
156,Центральная районная библиотека муниципального бюджетного учреждения культуры «Централизованная библиотечная система» Гудермесского муниципального района,Чеченская Республика,"Чеченская Республика, 366200, Гудермесский муниципальный район, город Гудермес, улица Ватутина, дом № 43",2020,10000000
157,Каргалинская сельская библиотека Муниципального казенного учреждения культуры «Централизованная библиотечная система Шелковского муниципального района»,Чеченская Республика,"Чеченская Республика, Шелковской  муниципальный район, станица  Каргалинская, ул. Советская, 19",2020,5000000
158,Детская библиотека муниципального бюджетного учреждения «Централизованная библиотечная система» г. Грозного,Чеченская Республика,"Чеченская Республика, г. Грозный, ул. М.С. Гуцериева, 65 «А»",2020,5000000
159,Наурская центральная детская библиотека Муниципального казенного учреждения культуры «Наурская централизованная библиотечная система»,Чеченская Республика,"Чеченская Республика, Наурский район, станица Наурская, ул. Газимагодова, 22",2020,5000000
160,Кшаушская сельская библиотека муниципального бюджетного учреждения «Централизованная библиотечная система» Чебоксарского района Чувашской Республики,Чувашская Республика - Чувашия,"Чувашская Республика Чебоксарский  район, д. Курмыши, ул. 9-ой  Пятилетки, д. 11",2020,5000000
161,Большесундырская сельская библиотека – филиал Муниципального бюджетного учреждения культуры «Централизованная библиотечная система» Моргаушского района Чувашской Республики,Чувашская Республика - Чувашия,"Чувашская Республика, Моргаушский  район, с. Б. Сундырь,  ул. Ленина, 16",2020,5000000
162,Центральная городская библиотека имени Л.С. Мерзликина муниципального бюджетного учреждения культуры г. Новоалтайска «Центральная городская библиотека имени Л.С. Мерзликина»,Алтайский край,"Алтайский край, 658087, г.Новоалтайск, ул.Октябрьская,31",2020,10000000
163,Библиотека-филиал №10 муниципального бюджетного учреждения «Централизованная библиотечная система г. Барнаула»,Алтайский край,"Алтайский край, 6560906, г. Барнаул, Рабочий поселок Южный, ул. Чайковского 19",2020,5000000
164,Информационно-библиотечный центр «Доступный город» Муниципальное бюджетное учреждение культуры «Центральная городская библиотека»,Камчатский край,"Камчатский край, г. Петропавловск-Камчатский, проспект Рыбаков, 13",2020,5000000
165,Центральная детская библиотека имени А.С. Пушкина муниципального бюджетного учреждения культуры Лабинского городского поселения Лабинского района «Централизованная библиотечная система»,Краснодарский край,"Краснодарский край, 352500, Лабинский район, г. Лабинск, ул. Ленина, дом № 175",2020,5000000
166,Муниципальное бюджетное учреждение культуры «Межпоселенческая библиотечная система» Дзержинского района Красноярского края Детская библиотека,Красноярский край,"Красноярский край, 663700, Дзержинский  район, с. Дзержинское, ул. Горького, 121",2020,5000000
167,Центральная библиотека Муниципального бюджетного учреждения культуры «Лысьвенская библиотечная система»,Пермский край,"Пермский край, г. Лысьва, ул. Коммунаров, дом 20",2020,10000000
168,Центральная детская библиотека им. Ф.Ф. Павленкова Муниципального бюджетного районного учреждения культуры «Красновишерская межпоселенческая централизованная библиотечная система» (МБРУК КМЦБС),Пермский край,"Пермский край, Красновишерский район,  г. Красновишерск, ул. Советская, дом 19/1",2020,5000000
169,Библиотека № 14 им. М.Ю. Лермонтова Муниципальное бюджетное учреждение культуры города Перми «Объединение муниципальных библиотек»,Пермский край,"г. Пермь, ул. Калинина, 74",2020,5000000
170,Муниципальное бюджетное учреждение культуры «Ивановская межпоселенческая центральная библиотека»,Амурская область,"Амурская область, Ивановский район, с.  Ивановка, ул. Ленина, 164",2020,10000000
171,Муниципальная библиотека искусств муниципального бюджетного учреждения культуры «Муниципальная информационная библиотечная система»,Амурская область,"Амурская область, г. Благовещенск, ул. Ленина, 72",2020,5000000
172,Библиотека №10 «Книжная гавань» муниципального бюджетного учреждения «Муниципальная библиотечная система»,Архангельская область,"Архангельская область, г. Северодвинск,  ул. К.Маркса, д. 26",2020,5000000
173,Пушкинская модельная библиотека-музей муниципального бюджетного учреждения культуры «Централизованная библиотечная система города Белгорода»,Белгородская область,"Белгородская область, 308000, г. Белгород, Ватутина проспект, 4",2020,5000000
174,Библиотека № 25 им. В.М.Пескова Муниципального бюджетного учреждения культуры городского округа город Воронеж «Централизованная библиотечная система»,Воронежская область,"Воронежская область, город Воронеж, улица Защитников Родины, д. 2а",2020,5000000
175,Эртильский Городской филиал по обслуживанию детей городского поселения – г. Эртиль Воронежской области Муниципального казённого учреждения культуры Эртильского муниципального района «Эртильская межпоселенческая библиотека»,Воронежская область,"Воронежская область, 397030, Эртильский район, г. Эртиль, улица Плехановская, дом 10",2020,5000000
176,Филиал №1 автономного учреждения культуры «Централизованная библиотечная система» г.о. Шуя,Ивановская область,"Ивановская область, 155900, город Шуя, ул. Свердлова, д.111",2020,5000000
177,Новоталицкая центральная сельская библиотека - филиал муниципального учреждения «Районная централизованная библиотечная система Ивановского муниципального района»,Ивановская область,"Ивановская область, Ивановский район,  с.Ново-Талицы, ул.Радужная, д.1В",2020,5000000
178,Центральная детская библиотека имени Ю. Черных муниципального бюджетного учреждения культуры «Централизованная библиотечная система города Братска» муниципального образования города Братска,Иркутская область,"""Юридический адрес: Иркутская область,  665724, город Братск, улица Рябикова, д.12.  Фактический адрес: Иркутская область,  665708, город Братск, улица Депутатская, д.  23.""",2020,5000000
179,Муниципальное бюджетное учреждение культуры «Городская библиотека» Пионерского городского округа,Калининградская область,"""Калининградская обл., 238590,  г. Пионерский,  ул. Армейская,  д. 6 и   ул. Комсомольская, д. 7 (библиотека расположена в двух зданиях)""",2020,10000000
180,Библиотека поселка Рыбачий МБУК «Зеленоградское объединение библиотек» МО «Зеленоградский городской округ»,Калининградская область,"Калининградская область, 238535,  Зеленоградский район, посёлок Рыбачий,  улица Победы, дом 2",2020,5000000
181,Багратионовская центральная детская библиотека МБУ «Багратионовское библиотечное объединение»,Калининградская область,"Калининградская область, 238430 г.Багратионовск, ул Пограничная,64 ",2020,5000000
182,Городская юношеская библиотека МАУК «Калининградская централизованная библиотечная система»,Калининградская область,"Калининградская область, 236029, город Калининград, улица Гайдара, 87",2020,5000000
183,Муниципальное бюджетное учреждение культуры «Безбожниковская сельская библиотека» Мурашинского района Кировской области,Кировская область,"613750 Кировская область,  Мурашинский район,  п. Безбожник,  ул. Первомайская, д.6",2020,5000000
184,Филипповская библиотека муниципального бюджетного учреждения культуры «Кирово-Чепецкая районная централизованная библиотечная система»,Кировская область,"613004 Кировская область Кирово-Чепецкий район село Филиппово ул. Заева, д. 9",2020,5000000
185,"Московская библиотека муниципального бюджетного учреждения культуры ""Афанасьевская районая библиотека""",Кировская область,"613062 Кировская область, Афанасьевский район, деревня Московская, улица Центральная, дом 24",2020,5000000
186,Муниципальное казенное учреждение культуры «Белозерская межпоселенческая центральная библиотека»,Курганская область,"Курганская, Белозерский, с. Белозерское,  Карла Маркса, 2",2020,10000000
187,Центральная детская библиотека - досуговый центр детей и подростков «Лукоморье»,Курганская область,"Курганская область, город Шадринск, ул. Гагарина, дом 20",2020,5000000
188,Библиотека №18 им. Л. Куликова МБУК «БИС г. Кургана»,Курганская область,"город Курган, ул. Гоголя, 183",2020,5000000
189,Центральная детская библиотека муниципального учреждения «Тихвинская централизованная библиотечная система»,Ленинградская область,"г. Тихвин, Ленинградская область, 4-й микрорайон, д. 4А",2020,5000000
190,"Филиал №1, Сланцевская центральная детская библиотека, муниципального казенного учреждения культуры «Сланцевская межпоселенческая центральная районная библиотека»",Ленинградская область,"Ленинградская область, 188560, Сланцевский район, город Сланцы, Ул. Ленина, д. 19",2020,5000000
191,Муниципальное бюджетное учреждение «Сосновоборская городская публичная библиотека» / МБУ «СГПБ» Отдел семейного чтения / ОСЧ,Ленинградская область,"Ленинградская область, г. Сосновый Бор, ул. Ленинградская, 46 Отдел семейного чтения ул.Солнечная, 23-А",2020,5000000
192,Библиотека № 6 библиотечно-информационного центра имени П. П. Семенова-Тян-Шанского Муниципального учреждения «Центральная библиотечная система» города Липецка,Липецкая область,"Липецкая область, 398006, г. Липецк, ул. Ильича, 16",2020,5000000
193,Военно-историческая библиотека имени Героя Советского Союза М.В. Водопьянова Муниципального учреждения «Централизованная библиотечная система» города Липецка,Липецкая область,"398016, г. Липецк, ул. Гагарина, д.75",2020,5000000
194,Центральная районная библиотека Муниципального бюджетного учреждения культуры «Межпоселенческая централизованная библиотечная система» Тенькинского городского округа,Магаданская область ,"Магаданская область, 686050, Тенькинский городской округ, пос. Усть-Омчуг, ул. Горняцкая, д. 41",2020,10000000
195,Муниципальное учреждение культуры «Центральная городская библиотека им. А.С. Горловского»,Московская область,"141300, Московская область, г. Сергиев Посад, проспект Красной Армии, д. 192",2020,10000000
196,Сергиевская сельская библиотека - филиал муниципального бюджетного учреждения культуры «Коломенская централизованная библиотечная система»,Московская область,"Московская область, Коломенский  городской округ, поселок Сергиевский,  улица Центральная, д.18",2020,5000000
197,Филиал «Городская библиотека» МУК «Центральная библиотека городского округа Егорьевск»,Московская область,"Московская область, 140304, г.о. Егорьевск, 5 микрорайон, д. 11 пом. 4",2020,5000000
198,Центральная городская библиотека муниципального бюджетного учреждения культуры «Централизованная библиотечная система г. Апатиты»,Мурманская область,"Мурманская область, 184209, г.Апатиты, ул. Пушкина, д.4",2020,10000000
199,Библиотека-филиал №15 муниципального бюджетного учреждения культуры «Центральная детская библиотека города Мурманска»,Мурманская область,"""Мурманская обл., 183038, г. Мурманск,  пр. Ленина, д. 94""",2020,5000000
200,Центральная детская библиотека муниципального бюджетного учреждения культуры «Мончегорская централизованная библиотечная система»,Мурманская область,"Мурманская область, 184511, город Мончегорск, проспект Металлургов, дом 39а",2020,5000000
201,Центральная библиотека Муниципального учреждения культуры «Пильнинская районная централизованная библиотечная система»,Нижегородская область,"Нижегородская область, Пильнинский район, р.п.Пильна, ул. Тарлыкова, д. 27",2020,10000000
202,Решетихинская поселковая библиотека муниципального бюджетного учреждения культуры «Володарская межпоселенческая библиотека»,Нижегородская область,"606093, Нижегородская область,  Володарский район, рабочий поселок  Решетиха, ул. Затылкова, дом 1а",2020,5000000
203,Катунская сельская библиотека Муниципального бюджетного учреждения культуры «Централизованная библиотечная система» городского округа город Чкаловск Нижегородской области,Нижегородская область,"606093, Нижегородская область,  Володарский район, рабочий поселок  Решетиха, ул. Затылкова, дом 1а",2020,5000000
